streetName	City	State		Day	Weather	vehicleCollision			
S 12TH AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S 12TH AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
12TH AV                       	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
1440 W IRVINGTON RD           	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
4100 E 29TH ST                	Tucson	Arizona		DARK-NOT LIGHTED                                       	CLEAR                                                  	Vehicle / Vehicle			
HERMANS RD                    	Tucson	Arizona		DAWN                                                   	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E GOLF LINKS RD               	Tucson	Arizona		DAWN                                                   	CLEAR                                                  	Vehicle / Vehicle			
E GOLF LINKS RD               	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E GOLF LINKS RD               	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E GOLF LINKS RD               	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BLVD                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S SWAN RD                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
SCARLETT ST                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N SWAN RD                     	Tucson	Arizona		DAYLIGHT                                               	RAIN                                                   	Vehicle / Vehicle			
HELEN ST                      	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E HELEN ST                    	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
SWAN RD N                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S WILMOT RD                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S WILMOT RD                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S WILMOT RD                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S WILMOT RD                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
W CANADA ST                   	Tucson	Arizona		DARK-NOT LIGHTED                                       	RAIN                                                   	Vehicle / Vehicle			
DEL MORAL BL                  	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N COUNTRY CLUB RD             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N COUNTRY CLUB RD             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
